LinINum,LinFMan,LinFecIni,LinFecFin,LinIBlo,LinFManTip,LinNom,LinBarA,LinBarB,LinFOpe,LinPotMaxA->B,LinPotMaxB->A,LinFMax,LinFN-1,LinPotN-1A->B,LinPotN-1B->A,LinVolt,LinR,LinX,LinDisEne,LinVI,LinCOMA,LinFCC
561,F,MesAbr-2025,MesSep-2025,11,F,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
562,F,MesAbr-2025,MesSep-2025,12,F,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
563,F,MesAbr-2025,MesSep-2025,13,F,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
564,F,MesAbr-2025,MesSep-2025,14,F,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
565,F,MesAbr-2025,MesSep-2025,15,F,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
566,F,MesAbr-2025,MesSep-2025,16,F,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
567,F,MesAbr-2025,MesSep-2025,22,F,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
568,F,MesAbr-2025,MesSep-2025,23,F,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
569,F,MesAbr-2025,MesSep-2025,24,F,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
570,T,MesAbr-2028,MesAbr-2028,1,F,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
571,T,MesAbr-2028,MesAbr-2028,2,F,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
572,T,MesAbr-2028,MesAbr-2028,3,F,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
573,T,MesAbr-2028,MesAbr-2028,4,F,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
574,T,MesAbr-2028,MesAbr-2028,10,F,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
575,T,MesAbr-2028,MesAbr-2028,11,F,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
