LinINum,LinNom,LinFOpe,LinFecOpeIni,LinFecOpeFin,LinBarA,LinBarB,LinBarSis,LinFPrtFlu,LinFPrtHis,LinNIntHis,LinFPrtInd,LinFCC,LinPotMaxA->B,LinPotMaxB->A,LinFMax,LinFPri,LinFN-1,LinPotN-1A->B,LinPotN-1B->A,LinVolt,LinR,LinX,LinFPer,LinNTra,LinDisEne,LinFPeaCal,LinPeaSis,LinPeaTip,LinFTipDef,LinFInv,LinFecInv,LinVI,LinCOMA,LinVidUti,LinEmp,LinAux
200526,Frontera Aux 2 220->Ana Maria 220 I,T,MesDic-2024,*,Frontera Aux 2 220,Ana Maria 220,*,T,T,101,T,F,290,290,T,T,T,290,290,220,3.568,16,T,5,1,T,TxT,Cmn,F,F,*,0,0,30,CNE,Exp2019_SxSal_Exp2019_SxQUI_Exp-40
200527,Frontera Aux 2 220->Ana Maria 220 II,T,MesDic-2024,*,Frontera Aux 2 220,Ana Maria 220,*,T,T,101,T,F,290,290,T,T,T,290,290,220,3.568,16,T,5,1,T,TxT,Cmn,F,F,*,0,0,30,CNE,Exp2019_SxSal_Exp2019_SxQUI_Exp-40
200528,Frontera Aux 2 220->Frontera 220 II,T,MesDic-2024,MesMay-2025,Frontera Aux 2 220,Frontera 220,*,T,T,101,T,F,945.8,945.8,T,T,T,655.8,655.8,220,0,0.0001,T,1,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,Exp2019_cc-QUI-ME-KI_SxQUI_Mod_Aux
200529,Frontera Aux 220->Lagunas Aux 3 220 II,T,MesDic-2024,*,Frontera Aux 220,Lagunas Aux 3 220,*,T,T,101,T,F,290,290,T,T,T,290,290,220,9.2768,41.6,T,5,1,T,TxT,Cmn,F,F,*,0,0,30,CNE,Exp2019_SxQUI_Exp-104
200530,Frontera Aux 220->Lagunas Aux 3 220 III,T,MesDic-2024,*,Frontera Aux 220,Lagunas Aux 3 220,*,T,T,101,T,F,290,290,T,T,T,290,290,220,9.2768,41.6,T,5,1,T,TxT,Cmn,F,F,*,0,0,30,CNE,Exp2019_SxQUI_Exp-104
200531,Lagunas Aux 3 220->Lagunas 220 II,T,MesDic-2024,*,Lagunas Aux 3 220,Lagunas 220,*,T,T,101,T,F,1080,945.8,T,T,T,790,655.8,220,0,0.0001,T,1,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,Exp2019_SxQUI_Mod_Aux
200532,Maria Elena 220->Maria Elena Aux 220 II,T,MesJun-2025,*,Maria Elena 220,Maria Elena Aux 220,*,T,T,101,T,F,1088.66,1088.66,T,T,T,544.33,544.33,220,0,0.0001,T,1,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,Exp2019_cc-QUI-ME-KI_Mod_Aux
200533,Kimal Aux 2 220->Maria Elena 220 III,T,MesJun-2025,*,Kimal Aux 2 220,Maria Elena 220,*,T,T,101,T,F,544.33,544.33,T,F,T,544.33,544.33,220,1.3330342,6.886957,T,2,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,Exp2019_cc-QUI-ME-KI_Mod_17.299999
200534,Kimal Aux 2 220->Maria Elena 220 IV,T,MesJun-2025,*,Kimal Aux 2 220,Maria Elena 220,*,T,T,101,T,F,544.33,544.33,T,F,T,544.33,544.33,220,1.3330342,6.886957,T,5,1,T,TxT,Cmn,F,F,*,0,0,30,CNE,Exp2019_cc-QUI-ME-KI_Mod_17.299999
200535,Kimal Aux 2 220->Kimal 220 II,T,MesJun-2025,*,Kimal Aux 2 220,Kimal 220,*,T,T,101,T,F,1088.66,1088.66,T,F,T,544.33,544.33,220,0,0.0001,T,1,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,Exp2019_cc-QUI-ME-KI_Mod_Aux
